№ п/п;Товар;Обозначение;Модификация;Кол-во;На заказы;Поставщик
2024;Контактор;КМИ 10910 9 А 230 В АС;<>;1; ;Толедо СК
2025;Контактор;КМИ 49512 95 А 400 В;<>;2; ;Толедо СК
2026;Контактор;КМИ 22511 25 А 230 В;<>;7; ;Толедо СК
2027;Контактор;КМИ 48012 80 А 400 В;<>;36; ;Толедо СК
2028;Контактор;КМИ 22511 25 А 400 В;<>;2; ;Толедо СК
2029;Контактор;КМИ 48012 80 А 400 В;<>;15; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
2030;Контактор;LC1K09008ХХ;Контактор LC1K09008М7 (АС1.25А, 220V 50/60 ГЦ);2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
2031;Контактор 3P 1NO+1NC 120А, 220VAC 50 Гц;LC1E120M5;<>;1; ;Толедо СК
2032;Контактор TVS 3P 1НЗ;LC1E0901M5 9А 400В AC3 220В 50ГЦ;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
2033;Контактор модульный OptiDin;МК63-2522-230AC;<>;1; ;РОСАР-Л
2034;Контакты вспомогательные (1NC+1NO);PS-LT-1100   42297;<>;1120; ;СТРОЙЭНЕРГО ООО
2035;Контакты вспомогательные (1NC+1NO);PS-LT-1100   42297;<>;150; ;Элснаб ООО
2036;Контакты вспомогательные (2 NC);PS-LT-0200;<>;2; ;Возврат с производства
2037;Контакты вспомогательные (2 NC);PS-LT-0200;<>;525; ;СТРОЙЭНЕРГО ООО
2038;Контакты вспомогательные (2 NC);PS-LT-0200;<>;4; ;Элснаб ООО
2039;Контакты вспомогательные (2 NO);PS-LT-2000;<>;8; ;Элснаб ООО
2040;Контакты дополнительные для модульных устройств (230В);ДК AX MCB-N/H/L;<>;287; ;АКЭЛ ПТК
2041;Контакты дополнительные для модульных устройств (230В);ДК AX MCB-N/H/L;<>;25; ;АЮ-ИНЖИНИРИНГ
2042;Контрольная колодка FAME 6/4+1;Ph3074100;<>;7; ;АМИТРОН -ЭК
2043;Контрольная колодка Ph3074102;FAME 6/6+1;<>;22; ;АМИТРОН -ЭК
2044;Контрольная колодка Ph3074102;FAME 6/6+1;<>;2; ;ИП Власов Андрей Юрьевич
2045;Концевик;НГКШ.301341.1614;<>;9; ;ТЕХКОМ НН
2046;Концевой выключатель;ВКМ-02/KSL1S;<>;30; ;ВЕЛДОН ЭЛЕКТРИК ООО
2047;Концевой выключатель;ВКМ-02/KSL1S;<>;400; ;Снаб-СП
2048;Концевой выключатель;ВКМ-02/KSL1S;Z-15GW-B Микропереключатель с рычагом 63мм;30; ;ИП Косарев И.М.
2049;Концевой сегмент на клеммники 2-х ярусные PIK (2,5-4) N (серый) NPP2/PIK4N-PIK 2.5N;449 019;<>;500; ;СТРОЙЭНЕРГО ООО
2050;Концевой сегмент на клеммники AVK 16RD, NPP 16RD (серый);444 170;<>;100; ;СТРОЙЭНЕРГО ООО
2051;Концевой сегмент на клеммники NPP AVK2, 5СС (444 139);444 137;<>;100; ;СТРОЙЭНЕРГО ООО
2052;Концевой сегмент на клеммники NPP PYK 1,5 MC(оранжевый);446 657;<>;1300; ;СТРОЙЭНЕРГО ООО
2053;Концевой сегмент на клеммники NPP PYK 1,5 MC(серый);446 659;<>;100; ;АЮ-ИНЖИНИРИНГ
2054;Концевой сегмент на клеммники NPP PYK 1,5 MC(серый);446 659;<>;200; ;СТРОЙЭНЕРГО ООО
2055;Концевой сегмент на клеммники NPP PYK 2,5 EA;446 629;<>;1500; ;СТРОЙЭНЕРГО ООО
2056;Концевой сегмент на клеммники NPP/PYK 2.5CCA (446 549);446 547;<>;100; ;АЮ-ИНЖИНИРИНГ
2057;Концевой сегмент на клеммники NPP/PYK 2.5CCA (446 549);446 547;<>;1600; ;СТРОЙЭНЕРГО ООО
2058;Концевой стопор Е/ТВ;Ph3246966;<>;100; ;ТЭС/ТЭС НН
2059;Короб;НГКШ.301341.834;<>;9; ;Крабер ООО
2060;Короб;НГКШ.301341.1685;<>;2; ;Крабер ООО
2061;Короб;НГКШ.301341.856-02;<>;18; ;Крабер ООО
2062;Короб;НГКШ.301341.1684;<>;7; ;Крабер ООО
2063;Короб;НГКШ.301341.856-04;<>;2; ;Крабер ООО
2064;Короб;НГКШ.301341.856-03;<>;9; ;Крабер ООО
2065;Короб;НГКШ.301341.856-01;<>;21; ;Крабер ООО
2066;Короб;НГКШ.301341.507;<>;6; ;Крабер ООО
2067;Короб;НГКШ.301341.856-05;<>;6; ;Крабер ООО
2068;Короб;НГКШ.301341.856;<>;127; ;Крабер ООО
2069;Короб;НГКШ.301341.823;<>;13; ;Крабер ООО
2070;Короб;НГКШ.745418.718;<>;1; ;ПМК ООО
2071;Короб;НГКШ.745418.718-01;<>;1; ;ПМК ООО
2072;Короб;К415-КПЛ.01.001;<>;1; ;ХРОМОС Инжиниринг
2073;Короб;К415-КПЛ.02.001;<>;1; ;ХРОМОС Инжиниринг
2074;Короб;К101.1-01.00.008;<>;14; ;ХРОМОС Инжиниринг
2075;Короб;К252.1НН-01.00.008;<>;3; ;ХРОМОС Инжиниринг
2076;Короб;К101.1-01.00.034;<>;11; ;ХРОМОС Инжиниринг
2077;Короб;К111.26-01.00.008;<>;1; ;ХРОМОС Инжиниринг
2078;Короб;К111.26-01.00.034;<>;1; ;ХРОМОС Инжиниринг
2079;Короб;НГКШ.745512.1638-01-л;<>;14; ;ХРОМОС Инжиниринг
2080;Короб;ШВД.К104.1-01.109;<>;6; ;ХРОМОС Инжиниринг
2081;Короб;НГКШ.745512.2039-л;<>;4; ;ХРОМОС Инжиниринг
2082;Короб;ТП.К104.1-01.008;<>;13; ;ХРОМОС Инжиниринг
2083;Короб;НГКШ.745512.1638-л;<>;19; ;ХРОМОС Инжиниринг
2084;Короб;НГКШ.745512.2040-л;<>;4; ;ХРОМОС Инжиниринг
2085;Короб;НГКШ.745512.2052-л;<>;4; ;ХРОМОС Инжиниринг
2086;Короб;НГКШ.745512.1923-л;<>;20; ;ХРОМОС Инжиниринг
2087;Короб;1603.ТП-01.008;<>;2; ;ХРОМОС Инжиниринг
2088;Короб (под Блок СМ16);НГКШ.745512.292;<>;26; ;Крабер ООО
2089;Короб (средний);НГКШ.745512.699-01;<>;7; ;ПМК ООО
2090;Короб блокировки;НГКШ.745512.128;<>;7; ;Крабер ООО
2091;Короб БПК;НГКШ.745512.2202;<>;3; ;Крабер ООО
2092;Короб ОПН;ОЛК-М-01 40 СБ;<>;29; ;ПМК ООО
2093;Короб ОПН;ОЛК-М-21 40 СБ;<>;43; ;ПМК ООО
2094;Короб под CVM12;НГКШ.745512.1791;<>;13; ;Крабер ООО
2095;Короб под СМ_1501;НГКШ.745512.1862;<>;1; ;Крабер ООО
2096;Короб под СМ_16 для ВЭ;НГКШ.745512.480-01;<>;30; ;Крабер ООО
2097;Короб под СМ_16 для ВЭ;НГКШ.745512.480-01;<>;8; ;ЛАЗЕР-НН
2098;Короб проходных изоляторов;НГКШ.745421.070;<>;110; ;Крабер ООО
2099;Короб проходных изоляторов;НГКШ.745421.074-01;<>;18; ;Крабер ООО
2100;Короб РО СВ;НГКШ.745418.643-Л;<>;1; ;ХРОМОС Инжиниринг
2101;Коробка испытательная (с крышкой); ;<>;310; ;Толедо СК
2102;Коробка испытательная переходная ИКП с прозр. крышкой;TDM SQ0836-0006;<>;12; ;Толедо СК
2103;Коробка монтажная огнестойка;КМ-0 (8к)-IP41;<>;2; ;НЕКСТ ТД
2104;Коробка монтажная огнестойка;КМ-0 (24к)-IP41-d;<>;5; ;ТИНКО ТД
2105;Коробка монтажная огнестойка;КМ-0 (8к)-IP41;<>;16; ;ТИНКО ТД
2106;Коробка ответвительная;КС-4;<>;1; ;НЕКСТ ТД
2107;Коробка распаячная (IP54);ОП 65х65х50;<>;76; ;Толедо СК
2108;Корпус;НГКШ.741121.143;<>;342; ;YUEQING LIYOND ELECTRIC CO.,LTD
2109;Корпус;ИТЕА.732117.007;<>;1100; ;ИП Карпенко Ю.Д.
2110;Корпус;НГКШ.301341.1162;<>;2; ;Крабер ООО
2111;Корпус;НГКШ.301341.1033;<>;2; ;Крабер ООО
2112;Корпус;НГКШ.301341.548;<>;6; ;Крабер ООО
2113;Корпус;НГКШ.301341.582;<>;3; ;Крабер ООО
2114;Корпус;ТШАГ.303772.001-01;<>;35; ;Крабер ООО
2115;Корпус;НГКШ.301341.579;<>;1; ;Крабер ООО
2116;Корпус;НГКШ.301341.543;<>;2; ;Крабер ООО
2117;Корпус;НГКШ.301341.413;<>;6; ;Крабер ООО
2118;Корпус;ТШАГ.303772.001;<>;35; ;Крабер ООО
2119;Корпус;НГКШ.301341.840;<>;10; ;Крабер ООО
2120;Корпус;ТШАГ.301561.025;<>;244; ;Крабер ООО
2121;Корпус;ТШАГ.301189.009;<>;21; ;Крабер ООО
2122;Корпус;НГКШ.301341.541;<>;22; ;Крабер ООО
2123;Корпус;ТШАГ.301189.008;<>;43; ;Крабер ООО
2124;Корпус;НГКШ.301341.545;<>;15; ;Крабер ООО
2125;Корпус;ИТЕА.685422.524;<>;44; ;Крабер ООО
2126;Корпус;НГКШ.301341.1158;<>;2; ;Крабер ООО
2127;Корпус;ВЭ 261.1-06.001;<>;2; ;Крабер ООО
2128;Корпус;НГКШ.301341.124;<>;316; ;Крабер ООО
2129;Корпус;ИТЕА.685422.524;<>;3; ;МЕТАЛЛООБРАБОТКА ИК
2130;Корпус;ТШАГ.301189.001-01;<>;3; ;ХРОМОС Инжиниринг
2131;Корпус;ВЭ 261.1-06.001;<>;15; ;ХРОМОС Инжиниринг
2132;Корпус;ТШАГ.685442.002;<>;320; ;Электротехника (МЕХ.ЦЕХ)
2133;Корпус;ИТЕА.685422.520-01;<>;26; ;Электротехника (МЕХ.ЦЕХ)
2134;Корпус;ИТЕА.685422.524;<>;3; ;Электротехника (МЕХ.ЦЕХ)
2135;Корпус блочный с крышкой;HZW-H6B-ST-1PL/R;<>;14; ;ЭЛМИ ГРУПП КОННЕКШН
2136;Корпус блочный, две защелки;HZW-H10B-ST-2PL/R;<>;23; ;ЭЛМИ ГРУПП КОННЕКШН
2137;Корпус блочный, две защелки;HZW-H16B-ST-2PL/R;<>;20; ;ЭЛМИ ГРУПП КОННЕКШН
2138;Корпус замка с креплением;ЗС-2;<>;2; ;ЭЛЕКТРОКОМПЛЕКТ ООО
2139;Корпус кабельный, боковой ввод;HZW-H16B-SKH-4g-M32;<>;23; ;ЭЛМИ ГРУПП КОННЕКШН
2140;Корпус КМ-КВ-1Б/М32-2В-77,5х27 ТУ;06407100;<>;20; ;Каскад НПО
2141;Корпус КМ-КВ-1П/М25-1В-44х27;06405120;<>;25; ;Каскад НПО
2142;Корпус КМ-КВ-1П/Рg29-1В-104х27;06408090;<>;3; ;Каскад НПО
2143;Корпус КМ-КВ-2П/М32-2С-104х27;064092475;<>;8; ;Каскад НПО
2144;Корпус КМ-ПР-0-1С-107х27;06408350;<>;3; ;Каскад НПО
2145;Корпус КМ-ПР-0-1С-44х27;06405310;<>;25; ;Каскад НПО
2146;Корпус КМ-ПР-0-2С-77,5х27 ТУ;06407320;<>;20; ;Каскад НПО
2147;Корпус редуктора;ТШАГ.301561.008;<>;3; ;Крабер ООО
2148;Корпус редуктора;ТШАГ.301561.023;<>;85; ;Крабер ООО
2149;Корпус сварной;НГКШ.301341.1072;<>;9; ;Крабер ООО
2150;Корпус сварной;ППК-01 01.00СБ;<>;7; ;ПМК ООО
2151;Корпус фиксатора;НГКШ.301341.889;<>;2; ;Крабер ООО
2152;Корпус фиксатора (Ц9хр);НГКШ.301341.429;<>;2; ;Крабер ООО
2153;Косынка;ТШАГ.741124.006;<>;28; ;Крабер ООО
2154;Косынка;К101.1-22.00.002;<>;216; ;МЕТАЛЛООБРАБОТКА ИК
2155;Косынка;НГКШ.745532.075;<>;20; ;ХРОМОС Инжиниринг
2156;Косынка;НГКШ.745532.075-Л;<>;290; ;ХРОМОС Инжиниринг
2157;Крепежный уголок;СНК-21 06. 00 СБ;<>;2; ;ПМК ООО
2158;Крепление для плоской тяги;LY;<>;452; ;Электра Екатеринбург
2159;Крестовина;НГКШ.745512.1930;<>;164; ;ХРОМОС Инжиниринг
2160;Кримп-контакт 0,5;09330006121;<>;3820; ;Хартинг ООО
2161;Кримп-контакт 0,5 QMM-AWG;09150006103;<>;4286; ;Хартинг ООО
2162;Кримп-контакт 1,0;09330006105;<>;800; ;Хартинг ООО
2163;Кримп-контакт 1,0 Han D;09150006102;<>;144; ;Хартинг ООО
2164;Кримп-контакт 1,0 Han D;09150006202;<>;3060; ;Хартинг ООО
2165;Кримп-контакт 1,5;09330006204;<>;4620; ;Хартинг ООО
2166;Кримп-контакт 1,5;09150006201;<>;1266; ;Хартинг ООО
2167;Кримп-контакт 2,5;09150006106;<>;4; ;Хартинг ООО
2168;Кримп-контакт 2,5;09150006206;<>;4; ;Хартинг ООО
2169;Кромка защитная;KG-020;<>;150; ;БУРЫЙ МЕДВЕДЬ-НН ООО НТП
2170;Кромка защитная;KG-020;<>;76.5; ;Возврат с производства
2171;Кронштей;НГКШ.746112.922-01;<>;2; ;Крабер ООО
2172;Кронштей ВВ;НГКШ.746112.920;<>;2; ;Крабер ООО
2173;Кронштей ВВ;НГКШ.746112.921;<>;2; ;Крабер ООО
2174;Кронштейн;КРЗ-200;<>;67; ;Кабельрост
2175;Кронштейн;КР4-300;<>;90; ;Кабельрост
2176;Кронштейн;КР4-400;<>;40; ;Кабельрост
2177;Кронштейн;ТШАГ.301532.035;<>;50; ;Крабер ООО
2178;Кронштейн;ТШАГ.301532.037;<>;50; ;Крабер ООО
2179;Кронштейн;ТШАГ.301532.039;<>;84; ;Крабер ООО
2180;Кронштейн;НГКШ.746112.922;<>;2; ;Крабер ООО
2181;Кронштейн;НГКШ.301532.426-01;<>;2; ;Крабер ООО
2182;Кронштейн;ТШАГ.745423.005;<>;188; ;Крабер ООО
2183;Кронштейн;ТШАГ.301532.034;<>;42; ;Крабер ООО
2184;Кронштейн;ТШАГ.301532.033;<>;50; ;Крабер ООО
2185;Кронштейн;НГКШ.301341.1772;<>;3; ;Крабер ООО
2186;Кронштейн;ТШАГ.301532.027;<>;42; ;Крабер ООО
2187;Кронштейн;ТШАГ.745326.003;<>;29; ;Крабер ООО
2188;Кронштейн;ТШАГ.745326.004;<>;200; ;Крабер ООО
2189;Кронштейн;ТШАГ.745423.025;<>;5; ;Крабер ООО
2190;Кронштейн;ТШАГ.745212.452;<>;5; ;Крабер ООО
2191;Кронштейн;ИТЕА.301532.587;<>;24; ;Крабер ООО
2192;Кронштейн;НГКШ.745512.1470-03;<>;34; ;Крабер ООО
2193;Кронштейн;НГКШ.745512.1436-02;<>;200; ;Крабер ООО
2194;Кронштейн;НГКШ.745512.1436;<>;16; ;Крабер ООО
2195;Кронштейн;НГКШ.745418.612;<>;16; ;Крабер ООО
2196;Кронштейн;НГКШ.745418.343;<>;6; ;Крабер ООО
2197;Кронштейн;НГКШ.745418.611;<>;78; ;Крабер ООО
2198;Кронштейн;НГКШ.745532.208;<>;18; ;Крабер ООО
2199;Кронштейн;НГКШ.745418.610;<>;18; ;Крабер ООО
2200;Кронштейн;НГКШ.745418.491-01;<>;12; ;Крабер ООО
2201;Кронштейн;НГКШ.745512.310;<>;10; ;Крабер ООО
2202;Кронштейн;ТШАГ.301532.031;<>;24; ;Крабер ООО
2203;Кронштейн;НГКШ.301341.1727;<>;6; ;Крабер ООО
2204;Кронштейн;ТШАГ.745352.068;<>;26; ;Крабер ООО
2205;Кронштейн;ТШАГ.745352.085;<>;43; ;Крабер ООО
2206;Кронштейн;ТШАГ.745352.124-01;<>;47; ;Крабер ООО
2207;Кронштейн;НГКШ.746112.895;<>;4; ;Крабер ООО
2208;Кронштейн;ТШАГ.745522.018;<>;6; ;Крабер ООО
2209;Кронштейн;ТШАГ.745423.012;<>;327; ;Крабер ООО
2210;Кронштейн;ДМ ИО 102-20;<>;34; ;Крабер ООО
2211;Кронштейн;НГКШ.745512.310-01;<>;2; ;Крабер ООО
2212;Кронштейн;ТШАГ.745352.056;<>;12; ;Крабер ООО
2213;Кронштейн;ТШАГ.745352.005-01;<>;604; ;Крабер ООО
2214;Кронштейн;ТШАГ.745352.005;<>;604; ;Крабер ООО
2215;Кронштейн;НГКШ.745418.471-01;<>;22; ;Крабер ООО
2216;Кронштейн;НГКШ.745512.783;<>;10; ;Крабер ООО
2217;Кронштейн;ТШАГ.745247.001;<>;3; ;Крабер ООО
2218;Кронштейн;ТШАГ.745212.342;<>;604; ;Крабер ООО
2219;Кронштейн;ТШАГ.745352.124;<>;45; ;Крабер ООО
2220;Кронштейн;НГКШ.301341.150;<>;1; ;Крабер ООО
2221;Кронштейн;ТШАГ.745352.055;<>;293; ;Крабер ООО
2222;Кронштейн;НГКШ.301341.444;<>;1; ;Крабер ООО
2223;Кронштейн;НГКШ.745212.1859;<>;28; ;Крабер ООО
2224;Кронштейн;НГКШ.745512.1474-02;<>;8; ;Крабер ООО
2225;Кронштейн;ИТЕА.301511.521;<>;35; ;Крабер ООО
2226;Кронштейн;НГКШ.745512.1184-01;<>;70; ;Крабер ООО
2227;Кронштейн;НГКШ.301532.190;<>;5; ;Крабер ООО
2228;Кронштейн;ИТЕА.301511.522-01;<>;35; ;Крабер ООО
2229;Кронштейн;НГКШ.745512.1184;<>;250; ;Крабер ООО
2230;Кронштейн;НГКШ.745512.087;<>;13; ;МЕТАЛЛООБРАБОТКА ИК
2231;Кронштейн;ОЛК-01 05.00 СБ;<>;414; ;МЕТАСФЕРА
2232;Кронштейн;ТШАГ.745423.005;<>;8; ;ПМК ООО
2233;Кронштейн;GPS-KP-300;<>;1; ;ТД УЭТ
2234;Кронштейн;НГКШ.301532.478;<>;3; ;ТЕХКОМ НН
2235;Кронштейн;ТШАГ.301561.003;<>;9; ;ТЕХКОМ НН
2236;Кронштейн;ТШОЗ.301561.002;<>;9; ;ТЕХКОМ НН
2237;Кронштейн;НГКШ.301532.425;<>;2; ;ТЕХКОМ НН
2238;Кронштейн;НГКШ.301532.194;<>;3; ;ТЕХКОМ НН
2239;Кронштейн;НГКШ.301532.276;<>;4; ;ТЕХКОМ НН
2240;Кронштейн;НГКШ.301341.1650;<>;3; ;ТЕХКОМ НН
2241;Кронштейн;НГКШ.301341.1649;<>;3; ;ТЕХКОМ НН
2242;Кронштейн;НГКШ.301532.378;<>;2; ;ТЕХКОМ НН
2243;Кронштейн;НГКШ.301532.447;<>;18; ;ТЕХКОМ НН
2244;Кронштейн;НГКШ.304269.003;<>;9; ;ТЕХКОМ НН
2245;Кронштейн;НГКШ.301532.064;<>;9; ;ТЕХКОМ НН
2246;Кронштейн;НГКШ.301532.054;<>;290; ;ТЕХКОМ НН
2247;Кронштейн;ТШАГ.301532.017;<>;20; ;ТЕХКОМ НН
2248;Кронштейн;ТШАГ.745512.042;<>;2; ;ХРОМОС Инжиниринг
2249;Кронштейн;НГКШ.745512.1939-Л;<>;44; ;ХРОМОС Инжиниринг
2250;Кронштейн;НГКШ.745512.1965-Л;<>;14; ;ХРОМОС Инжиниринг
2251;Кронштейн;НГКШ.745418.609;<>;18; ;ХРОМОС Инжиниринг
2252;Кронштейн;НГКШ.745512.1906-л;<>;60; ;ХРОМОС Инжиниринг
2253;Кронштейн;НГКШ.745512.1436-02-Л;<>;4; ;ХРОМОС Инжиниринг
2254;Кронштейн;ТШАГ.745522.009;<>;20; ;ХРОМОС Инжиниринг
2255;Кронштейн;НГКШ.745512.1888-л;<>;32; ;ХРОМОС Инжиниринг
2256;Кронштейн;НГКШ.745512.1470-02-Л;<>;292; ;ХРОМОС Инжиниринг
2257;Кронштейн;НГКШ.745512.1474-03-Л;<>;3; ;ХРОМОС Инжиниринг
2258;Кронштейн;ТШАГ.745532.177;<>;8; ;ХРОМОС Инжиниринг
2259;Кронштейн;ТШАГ.745326.003;<>;291; ;ХРОМОС Инжиниринг
2260;Кронштейн;ТШАГ.745326.004;<>;1803; ;ХРОМОС Инжиниринг
2261;Кронштейн;ТШАГ.745423.025;<>;29; ;ХРОМОС Инжиниринг
2262;Кронштейн;НГКШ.745512.281;<>;3; ;ХРОМОС Инжиниринг
2263;Кронштейн;ТШАГ.741214.007;<>;3; ;ХРОМОС Инжиниринг
2264;Кронштейн;К111.26-00.00.027;<>;1; ;ХРОМОС Инжиниринг
2265;Кронштейн;ТШАГ.745212.452;<>;48; ;ХРОМОС Инжиниринг
2266;Кронштейн;ТШАГ.745522.017;<>;3; ;ХРОМОС Инжиниринг
2267;Кронштейн;НГКШ.745532.151;<>;3; ;ХРОМОС Инжиниринг
2268;Кронштейн;НГКШ.745418.786;<>;24; ;ХРОМОС Инжиниринг
2269;Кронштейн;ТШАГ.745532.192-Л;<>;16; ;ХРОМОС Инжиниринг
2270;Кронштейн;НГКШ.745512.1957-л;<>;16; ;ХРОМОС Инжиниринг
2271;Кронштейн;НГКШ.745418.785;<>;2; ;ХРОМОС Инжиниринг
2272;Кронштейн;К101.1-00.00.028;<>;17; ;ХРОМОС Инжиниринг
2273;Кронштейн;НГКШ.745512.2050-л;<>;4; ;ХРОМОС Инжиниринг
2274;Кронштейн;НГКШ.745418.638;<>;1; ;ХРОМОС Инжиниринг
2275;Кронштейн;НГКШ.745418.638-01;<>;1; ;ХРОМОС Инжиниринг
2276;Кронштейн;ТШАГ.745522.010-Л;<>;9; ;ХРОМОС Инжиниринг
2277;Кронштейн;ТШАГ.745352.036-Л;<>;18; ;ХРОМОС Инжиниринг
2278;Кронштейн;ТШАГ.745532.177-Л;<>;88; ;ХРОМОС Инжиниринг
2279;Кронштейн;ТШАГ.745522.009-Л;<>;308; ;ХРОМОС Инжиниринг
2280;Кронштейн;НГКШ.745532.071-Л;<>;281; ;ХРОМОС Инжиниринг
2281;Кронштейн;НГКШ.745522.000-Л;<>;268; ;ХРОМОС Инжиниринг
2282;Кронштейн;НГКШ.745418.599;<>;3; ;ХРОМОС Инжиниринг
2283;Кронштейн;НГКШ.745418.768-Л;<>;4; ;ХРОМОС Инжиниринг
2284;Кронштейн;НГКШ.745512.1474-Л;<>;1; ;ХРОМОС Инжиниринг
2285;Кронштейн;К101.1-00.00.027-11;<>;11; ;ХРОМОС Инжиниринг
2286;Кронштейн;НГКШ.745512.2086-Л;<>;9; ;ХРОМОС Инжиниринг
2287;Кронштейн;НГКШ.745512.2083-л;<>;3; ;ХРОМОС Инжиниринг
2288;Кронштейн;НГКШ.745512.2082-л;<>;3; ;ХРОМОС Инжиниринг
2289;Кронштейн;НГКШ.745512.2030-л;<>;8; ;ХРОМОС Инжиниринг
2290;Кронштейн;НГКШ.745532.071;<>;20; ;ХРОМОС Инжиниринг
2291;Кронштейн;НГКШ.745522.000;<>;20; ;ХРОМОС Инжиниринг
2292;Кронштейн;НГКШ.745512.1436-Л;<>;2; ;ХРОМОС Инжиниринг
2293;Кронштейн;НГКШ.745418.313;<>;20; ;ХРОМОС Инжиниринг
2294;Кронштейн;НГКШ.745418.314;<>;5; ;ХРОМОС Инжиниринг
2295;Кронштейн;НГКШ.745418.317;<>;4; ;ХРОМОС Инжиниринг
2296;Кронштейн;ВЭ 261.3-13.000;<>;10; ;Электротехника (МЕХ.ЦЕХ)
2297;Кронштейн;ВЭ 261.1-13.000;<>;4; ;Электротехника (МЕХ.ЦЕХ)
2298;Кронштейн;НГКШ.745512.087;<>;26; ;Электротехника (МЕХ.ЦЕХ)
2299;Кронштейн;ВЭ 261.1-04.000;<>;13; ;Электротехника (МЕХ.ЦЕХ)
2300;Кронштейн;ВЭ 261.1-05.000;<>;13; ;Электротехника (МЕХ.ЦЕХ)
2301;Кронштейн 400;НГКШ.745512.1410-04-Л;<>;12; ;ХРОМОС Инжиниринг
2302;Кронштейн 600;НГКШ.745512.1410-02;<>;72; ;Крабер ООО
2303;Кронштейн 600;НГКШ.745512.1410-02-Л;<>;8; ;ХРОМОС Инжиниринг
2304;Кронштейн 800;НГКШ.745512.1410-Л;<>;476; ;ХРОМОС Инжиниринг
2305;Кронштейн DIN-рейки;НГКШ.745418.738-Л;<>;12; ;ХРОМОС Инжиниринг
2306;Кронштейн Lovato 24.3(28.7A)-600;НГКШ.745418.027;<>;4; ;ПМК ООО
2307;Кронштейн V-обр. для профнастила арт.40 20 000 008 1;М8 ц;<>;8; ;Кабельрост
2308;Кронштейн блокиратора;ОЛТ-01 15;<>;261; ;ПМК ООО
2309;Кронштейн блокировки;ТШАГ.745532.007;<>;310; ;Крабер ООО
2310;Кронштейн блокировки;НГКШ.745532.056;<>;3; ;Крабер ООО
2311;Кронштейн блокировки;НГКШ.301532.477;<>;2; ;ТЕХКОМ НН
2312;Кронштейн блокировки;НГКШ.745212.2391;<>;2; ;ХРОМОС Инжиниринг
2313;Кронштейн вала вката;НГКШ.301532.264;<>;230; ;ТЕХКОМ НН
2314;Кронштейн ВВ;НГКШ.745212.1988;<>;6; ;Крабер ООО
2315;Кронштейн ВВ;НГКШ.301532.426;<>;4; ;Крабер ООО
2316;Кронштейн ВВ;НГКШ.301341.146;<>;26; ;Крабер ООО
2317;Кронштейн ВВ;НГКШ.745512.1971;<>;2; ;Крабер ООО
2318;Кронштейн ВВ;НГКШ.745212.1971;<>;34; ;Крабер ООО
2319;Кронштейн ВВ;НГКШ.745212.2426;<>;3; ;Крабер ООО
2320;Кронштейн ВВ;НГКШ.301341.147;<>;26; ;Крабер ООО
2321;Кронштейн ВВ;НГКШ.745212.1790;<>;8; ;Крабер ООО
2322;Кронштейн ВВ;НГКШ.301341.146;<>;12; ;ЛАЗЕР-НН
2323;Кронштейн ВВ;НГКШ.301341.147;<>;12; ;ЛАЗЕР-НН
2324;Кронштейн ВВ;НГКШ.745212.2395;<>;2; ;ХРОМОС Инжиниринг
2325;Кронштейн ВВ 4 мм (RAL 7032ш);НГКШ.745212.2266;<>;10; ;Крабер ООО
2326;Кронштейн вката;НГКШ.301532.248;<>;2; ;Крабер ООО
2327;Кронштейн ВП-19;К101.1-00.00.028-10;<>;14; ;Крабер ООО
2328;Кронштейн ВП-19;К101.1-00.00.028-10;<>;15; ;ХРОМОС Инжиниринг
2329;Кронштейн для крепления (ДИВГ.305659.007);ВОД- Л;<>;109; ;Механотроника НТЦ ООО
2330;"Кронштейн для установки 19"" стоек в IT корпуса 800 (4 шт.)";R5MCRE01IT;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
2331;Кронштейн для установки изол. сборных шин;R5MPBS;<>;39; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
2332;Кронштейн заземления;НГКШ.745212.1687;<>;2; ;Крабер ООО
2333;Кронштейн закрытия ЗБ-1М (Ц9хр);НГКШ.745421.053;<>;6; ;ЛАЗЕР-НН
2334;Кронштейн защитный;НГКШ.301511.292;<>;15; ;Крабер ООО
2335;Кронштейн защитный;НГКШ.301532.353-02;<>;3; ;Крабер ООО
2336;Кронштейн защитный;НГКШ.301511.081;<>;1; ;Крабер ООО
2337;Кронштейн защитный;НГКШ.301341.440;<>;1; ;Крабер ООО
2338;Кронштейн защитный;НГКШ.301532.353-01;<>;4; ;Крабер ООО
2339;Кронштейн защитный;НГКШ.301341.206;<>;7; ;Крабер ООО
2340;Кронштейн защитный;НГКШ.301511.201;<>;2; ;Крабер ООО
2341;Кронштейн защитный;НГКШ.301341.406;<>;7; ;Крабер ООО
2342;Кронштейн защитный (RAL 7032ш);НГКШ.301511.244;<>;6; ;Крабер ООО
2343;Кронштейн ЗБ;НГКШ.745212.2316;<>;3; ;Крабер ООО
2344;Кронштейн ЗБ;НГКШ.745418.012;<>;8; ;ХРОМОС Инжиниринг
2345;Кронштейн ЗБ-1М;НГКШ.745212.2428;<>;1; ;Крабер ООО
